Symbol,Name,Sector,Industry,52high,52low,변동률(%),Sector2
A200230,텔콘RF제약,통신 및 방송 장비 제조업,"RF 통신부품(케이블 어셈블리, 커넥터 등)",3990,1090,266.0550459,방송/통신
A214420,토니모리,기타 화학제품 제조업,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등",7040,2970,137.037037,화학
A215480,토박스코리아,"섬유, 의복, 신발 및 가죽제품 소매업",유아동 신발,8081,4205,92.17598098,서비스/오락/문화
A051360,토비스,영상 및 음향기기 제조업,Gaming모니터,11800,7550,56.29139073,제조
A045340,토탈소프트,소프트웨어 개발 및 공급업,해운물류소프트웨어 (CATOS 등),12900,4535,184.4542448,IT
A108230,톱텍,특수 목적용 기계 제조업,디스플레이 자동화설비,9870,5950,65.88235294,기계
A079970,투비소프트,소프트웨어 개발 및 공급업,"MiPlatform, X Platform",2405,866,177.7136259,IT
A199800,툴젠,자연과학 및 공학 연구개발업,유전자교정 플랫폼 관련 제품,111973,45400,146.6365639,의료/의약
A105550,트루윈,전자부품 제조업,"자동차용 센서(APS, TPS, IAPS, SLS)",4615,2450,88.36734694,전기/전자
A290090,트윔,소프트웨어 개발 및 공급업,AI 기반 스마트팩토리 검사 소프트웨어 및 설비,41500,13600,205.1470588,IT
A026150,특수건설,토목 건설업,보링,13200,7320,80.32786885,건설업
A322180,티라유텍,소프트웨어 개발 및 공급업,스마트팩토리 솔루션,15100,7760,94.58762887,IT
A117730,티로보틱스,특수 목적용 기계 제조업,"중대형 시스템, 중대형 로봇",9970,6260,59.26517572,기계
A033830,티비씨,텔레비전 방송업,"텔레비젼 방송,문화서비스,광고/출판,음반 제작,도매",2950,899,228.1423804,방송/통신
A057680,티사이언티픽,소프트웨어 개발 및 공급업,모바일쿠폰,5990,2330,157.0815451,IT
A064760,티씨케이,기타 비금속 광물제품 제조업,반도체 제조공정용 고순도 흑연제품,152900,91900,66.37649619,제조
A246710,티앤알바이오팹,기초 의약물질 및 생물학적 제제 제조업,"생분해성 의료기기, 3D 바이오프린팅 시스템, 바이오잉크, 3D 오가노이드, 3D 세포치료제",34536,13300,159.6691729,의료/의약
